Date,Open,High,Low,Close,Volume,"EMA(5,Modern)","EMA(10,Modern)","EMA(20,Modern)","EMA(50,Modern)","EMA(100,Modern)",AV(3),AV(5),AV(10),AV(20),"KST(10,10|15,10|20,10|30,15)",SMA(10),RSI(14),"MACD(12,26)","EMA(9,Modern)",Histogram,Momentum(3),Momentum(5),Momentum(10),Momentum(20)
3/10/08,42.01,42.14,41.17,41.26,146964128,,,,,,,,,,,,,,,,,,,
3/11/08,41.86,42.85,41.51,42.8301,196888192,,,,,,,,,,,,,,,,,,,
3/12/08,43.02,43.44,42.6,42.71,155566000,,,,,,166472773.3,,,,,,,,,,,,,
3/13/08,42.21,43.33,41.81,43.04,208991744,,,,,,187148645.3,,,,,,,,,,1.78,,,
3/14/08,43.36,43.38,41.74,42.25,309589760,42.36201333,,,,,224715834.7,203599964.8,,,,,,,,,-0.5801,,,
3/17/08,41.26,42.01,41.05,41.48,193130560,42.06800889,,,,,237237354.7,212833251.2,,,,,,,,,-1.23,0.22,,
3/18/08,42.24,43.34,42.11,43.33,216300368,42.48867259,,,,,239673562.7,216715686.4,,,,,,,,,0.29,0.4999,,
3/19/08,43.51,43.6,42.23,42.26,216157184,42.4124484,,,,,208529370.7,228833923.2,,,,,,,,,0.01,-0.45,,
3/20/08,42.35,43.1,42.1,43.09,128397008,42.63829893,,,,,186951520,212714976,,,,,,,,,1.61,0.05,,
3/24/08,43.28,44.76,43.28,44.5799,125075632,43.28549929,43.02789091,,,,156543274.7,175812150.4,189706057.6,,,,,,,,1.2499,2.3299,,
3/25/08,44.68,45.07,44.28,44.83,118219632,43.80033286,43.35554711,,,,123897424,160829964.8,186831608,,,,,,,,2.57,3.35,3.57,
3/26/08,44.69,44.85,44.28,44.7,124824560,44.10022191,43.59999309,,,,122706608,142534803.2,179625244.8,,,,,,,,1.61,1.37,1.8699,
3/27/08,44.44,44.51,43.71,43.71,143868560,43.97014794,43.61999434,,,,128970917.3,128077078.4,178455500.8,,,,,,,,-0.8699,1.45,1,
3/28/08,44.03,44.34,43.33,43.49,111838128,43.81009862,43.59635901,,,,126843749.3,124765302.4,168740139.2,,,,,,,,-1.34,0.4,0.45,
3/31/08,43.65,44.02,43.45,43.72,113644752,43.78006575,43.61883919,,,,123117146.7,122479126.4,149145638.4,,,,61.55993308,,,,-0.98,-0.8599,1.47,
4/1/08,44.45,45.61,44.41,45.59,137494368,44.38337717,43.97723206,,,,120992416,126334073.6,143582019.2,,,,67.67753215,,,,1.88,0.76,4.11,
4/2/08,45.69,46.02,45.17,45.49,132486752,44.75225144,44.25228078,,,,127875290.7,127866512,135200657.6,,,,67.06289017,,,,2,0.79,2.16,
4/3/08,45.29,45.91,45.14,45.59,140033744,45.03150096,44.49550246,,,,136671621.3,127099548.8,127588313.6,,,,67.38191235,,,,1.87,1.88,3.33,
4/4/08,45.78,46.35,45.4,45.86,139275808,45.30766731,44.74359292,,,,137265434.7,132587084.8,128676193.6,,,,68.27538288,,,,0.27,2.37,2.77,
4/7/08,46.15,46.41,45.65,45.76,102610752,45.45844487,44.92839421,43.96721429,,,127306768,130380284.8,126429705.6,158067881.6,,,67.53749966,,,,0.27,2.04,1.1801,
4/8/08,45.41,45.72,45.18,45.41,97565936,45.44229658,45.0159589,44.10462245,,,113150832,122394598.4,124364336,155597972,,,64.89399121,,,,-0.18,-0.18,0.58,4.15
4/9/08,45.47,45.49,44.63,44.9,127256944,45.26153105,44.99487546,44.18037269,,,109144544,121348636.8,124607574.4,152116409.6,,,61.13873976,,,,-0.96,-0.59,0.2,2.0699
4/10/08,44.93,45.84,44.93,45.54,112800432,45.35435404,45.09398901,44.30986101,,,112541104,115901974.4,121500761.6,149978131.2,,,63.95741445,,,,-0.22,-0.05,1.83,2.83
4/11/08,45.02,45.1,44.12,44.28,120135376,44.99623602,44.94599101,44.3070171,,,120064250.7,112073888,122330486.4,145535312.8,,,55.43287824,,,,-1.13,-1.58,0.79,1.24
4/14/08,44.21,44.48,43.95,44.08,89274560,44.69082402,44.7885381,44.28539643,,,107403456,109406649.6,119893467.2,134519552.8,,,54.19804694,,,,-0.82,-1.68,0.36,1.83
4/15/08,44.24,44.35,43.68,44.14,124232256,44.50721601,44.67062208,44.27154915,,,111214064,114739913.6,118567256,131074637.6,,,54.52532414,0.622111811,,,-1.4,-1.27,-1.45,2.66
4/16/08,44.69,45.48,44.65,45.37,134027872,44.79481067,44.7977817,44.37616351,,,115844896,116094099.2,118721368,126961012.8,,,60.72151798,0.635090056,,,1.09,0.47,-0.12,2.04
4/17/08,45.42,45.75,44.98,45.27,125056816,44.95320712,44.88363958,44.4612908,,,127772314.7,118545376,117223675.2,122405994.4,,,60.0056595,0.630043495,,,1.19,-0.27,-0.32,3.01
4/18/08,46.51,46.93,46.22,46.71,133022432,45.53880474,45.21570511,44.67545358,,,130702373.3,121122787.2,116598337.6,122637265.6,,,66.18739424,0.733781449,,,2.57,2.43,0.85,3.62
4/21/08,46.61,47.08,46.49,47.04,83303184,46.03920316,45.54739509,44.90064848,,,113794144,119928512,114667580.8,120548643.2,,,67.42981357,0.833020228,,,1.67,2.96,1.28,2.4601
4/22/08,46.73,46.77,45.93,46.34,104689504,46.13946878,45.69150507,45.03772957,,,107005040,116019961.6,115379937.6,119872136.8,,,62.20818613,0.845437844,,,1.07,2.2,0.93,1.51
4/23/08,46.68,47.06,46.2736,46.85,131086192,46.37631252,45.90214051,45.21032676,,,106359626.7,115431625.6,115762862.4,120185218.4,,,64.37285637,0.886215887,,,0.14,1.48,1.95,2.15
4/24/08,46.87,47.79,46.39,47.27,166694560,46.67420834,46.15084224,45.40648611,,,134156752,123759174.4,121152275.2,121326518.4,,,66.09519695,0.941569444,,,0.23,2,1.73,3.56
4/25/08,47.31,47.35,46.57,47.15,121945376,46.83280556,46.33250729,45.57253506,,,139908709.3,121543763.2,121333275.2,121831880.8,,,65.12644621,0.964634829,0.823318525,0.141316304,0.81,0.44,2.87,3.66
4/28/08,47.25,47.62,47.13,47.24,71243936,46.96853704,46.49750596,45.73134124,,,119961290.7,119131913.6,119530212.8,119711840,,,65.53445846,0.978892497,0.85443332,0.124459178,0.39,0.2,3.16,3.52
4/29/08,47.15,47.76,47.06,47.6,91270624,47.17902469,46.69795942,45.90930874,,,94819978.67,116448137.6,116234049.6,117400652.8,,,67.18814232,1.007625514,0.885071759,0.122553756,0.33,1.26,3.46,2.01
4/30/08,47.69,48.06,47.03,47.21,132152688,47.1893498,46.79105771,46.0331841,,,98222416,116661436.8,116046531.2,117383949.6,,,63.62648523,0.987543114,0.90556603,0.081977084,0.06,0.36,1.84,1.72
5/1/08,47.24,48.72,47.22,48.7,143596880,47.69289986,47.13813813,46.28716657,,,122340064,112041900.8,117900537.6,117562106.4,,,70.13926397,1.079415386,0.940335901,0.139079485,1.46,1.43,3.43,3.11
5/2/08,49.19,49.19,48.34,48.77,124989936,48.05193324,47.43484028,46.52362689,,,133579834.7,112650812.8,117097288,116847812.8,,,70.40734216,1.144678102,0.981204341,0.163473761,1.17,1.62,2.06,2.91
5/5/08,48.73,49.03,48.4,48.63,75624624,48.24462216,47.65214205,46.72423386,,,114737146.7,113526950.4,116329432,115498506.4,,,69.0717432,1.171597003,1.019282873,0.15231413,1.42,1.39,1.59,2.87
5/6/08,48.49,49.13,48.14,48.93,139582496,48.47308144,47.88447986,46.93430682,,,113399018.7,123189324.8,119818731.2,117599334.4,,,70.36887517,1.203267402,1.056079779,0.147187623,0.23,1.33,2.59,3.52
5/7/08,48.93,49.23,47.872,48.04,140008256,48.32872096,47.91275625,47.03961093,,,118405125.3,124760438.4,120710937.6,118236900,,,62.05406414,1.143370792,1.073537982,0.069832811,-0.73,0.83,1.19,3.14
5/8/08,48.24,48.7,48.06,48.4,128058688,48.35248064,48.00134602,47.1691718,,,135883146.7,121652800,116847350.4,118999812.8,,,63.91159745,1.112131331,1.081256652,0.03087468,-0.23,-0.3,1.13,2.86
5/9/08,48.03,48.46,47.9,48.21,97062000,48.30498709,48.03928311,47.26829829,,,121709648,116067212.8,114359012.8,117846144,,,62.1815087,1.059825414,1.076970404,-0.01714499,-0.72,-0.56,1.06,3.93
5/12/08,48.28,49.19,48.2,49.09,89636000,48.56665806,48.23032254,47.44179369,,,104918896,118869488,116198219.2,117864216,82.89599575,,66.68037026,1.076966641,1.076969652,-3.0101E-06,1.05,0.46,1.85,5.01
5/13/08,49.13,49.33,48.76,49.22,85448000,48.78443871,48.4102639,47.61114668,,,90715333.33,108042588.8,115615956.8,115925003.2,83.7009241,,67.29924335,1.088493625,1.079274446,0.009219179,0.82,0.29,1.62,5.08
5/14/08,49.42,49.93,49.04,49.11,143598128,48.89295914,48.53748864,47.75389461,,,106227376,108760563.2,116760500.8,116403516,84.59156711,,66.17914388,1.076345322,1.078688621,-0.002343299,0.9,1.07,1.9,3.74
5/15/08,49.11,50.02,48.98,49.97,157248816,49.25197276,48.79794526,47.96495227,,,128764981.3,114598588.8,118125694.4,118013116,84.63225485,,70.33601324,1.123165367,1.08758397,0.035581396,0.88,1.57,1.27,4.7
5/16/08,50.09,50.11,49.45,50.0099,146563184,49.50461517,49.01830066,48.15970919,,,149136709.3,124498825.6,120283019.2,118690153.6,83.71296491,,70.51706868,1.150231038,1.100113384,0.050117654,0.7899,1.7999,1.2399,3.2999
5/19/08,50.05,50.47,49.34,49.65,140179632,49.55307678,49.13315509,48.30164165,46.0412922,,147997210.7,134607552,126738520,121533976,81.44097296,,66.57017539,1.129618319,1.106014371,0.023603948,0.54,0.56,1.02,2.61
5/20/08,49.45,49.47,48.89,49.27,137163632,49.45871785,49.15803598,48.39386626,46.16790819,,141302149.3,144950678.4,126496633.6,123157682.4,77.38656018,,62.58698041,1.070282219,1.098867941,-0.028585722,-0.7,0.05,0.34,2.93
5/21/08,49.31,49.6,48.02,48.18,192807632,49.03247857,48.98021126,48.37349804,46.24681375,,156716965.3,154792579.2,131776571.2,126243754.4,74.70945646,,52.82346274,0.924645306,1.064023414,-0.139378107,-1.8299,-0.93,0.14,1.33
5/22/08,48.3,48.69,48.11,48.35,153198192,48.80498571,48.86562739,48.37126013,46.32929164,,161056485.3,153982454.4,134290521.6,125568936,69.31659588,,54.02800698,0.813566297,1.01393199,-0.200365693,-1.3,-1.62,-0.05,1.08
5/23/08,48.18,48.3505,47.82,48.2,121708064,48.60332381,48.74460423,48.35494964,46.40265275,,155904629.3,149011430.4,136755128,125557070.4,65.06478649,78.74520787,52.74823773,0.705301361,0.952205864,-0.246904504,-1.07,-1.8099,-0.01,1.05
5/27/08,48.32,49.11,48.29,49.05,106987744,48.75221587,48.80013073,48.42114492,46.50647029,,127298000,142373052.8,138490302.4,127344260.8,62.28987344,76.68459564,58.71594393,0.68024705,0.897814102,-0.217567051,0.87,-0.6,-0.04,1.81
5/28/08,49.28,49.36,48.75,49.25,121369120,48.91814392,48.88192515,48.5000835,46.61405969,,116688309.3,139214150.4,142082414.4,128849185.6,59.07901409,74.22240464,59.99617023,0.668819918,0.852015265,-0.183195347,0.9,-0.02,0.03,1.65
5/29/08,49.27,49.97,49.25,49.69,143993008,49.17542928,49.02884785,48.61340888,46.7346848,,124116624,129451225.6,142121902.4,129441201.6,58.16632296,71.57988022,62.73410624,0.687344871,0.819081186,-0.131736315,1.49,1.51,0.58,2.48
5/30/08,49.89,50.24,49.75,50.01,94163568,49.45361952,49.20723915,48.74641756,46.86312854,,119841898.7,117644300.8,135813377.6,126969536,55.05965257,68.62261999,64.63010264,0.7195528,0.799175509,-0.079622709,0.96,1.66,0.04,1.31
6/2/08,49.92,49.92,48.96,49.4,144359872,49.43574635,49.24228657,48.8086635,46.96261369,,127505482.7,122174662.4,135593046.4,127938032.8,50.87373093,65.3386966,58.51813581,0.687925931,0.776925593,-0.088999662,0.15,1.2,-0.6099,0.63
6/3/08,49.59,49.9,48.67,49.13,167679872,49.3338309,49.22187083,48.83926698,47.04760923,,135401104,134313088,138343070.4,132540795.2,46.10855474,61.80545477,55.99403597,0.633768972,0.748294269,-0.114525297,-0.56,0.08,-0.52,0.5
6/4/08,48.97,50.1,48.94,49.76,174967376,49.47588726,49.3197125,48.92695584,47.1539775,,162335706.7,145032739.2,142123444.8,134310039.2,44.11309242,58.478108,60.2972961,0.634372278,0.725509871,-0.091137593,-0.25,0.51,0.49,0.83
6/5/08,49.87,50.61,49.7,50.55,126653632,49.83392484,49.54340114,49.08153147,47.28715485,,156433626.7,141564864,135508044.8,133642308,45.45108768,55.55227112,64.92866695,0.690635583,0.718535013,-0.02789943,1.15,0.86,2.37,2.51
6/6/08,50.11,50.21,49.02,49.03,189135936,49.5659499,49.45005548,49.07662371,47.35550172,,163585648,160559337.6,139101819.2,136696170.4,43.50555501,52.97116703,52.2898119,0.605592468,0.695946504,-0.090354037,-0.1,-0.98,0.68,0.63
6/9/08,49.11,49.19,47.95,48.77,208897248,49.30063326,49.32640903,49.04742145,47.41097224,,174895605.3,173466812.8,147820737.6,142287932.8,41.54731131,50.61941952,50.47971195,0.511321167,0.659021437,-0.14770027,-0.99,-0.63,0.57,0.56
6/10/08,48.28,48.94,48.16,48.54,162798496,49.04708884,49.18342557,48.9990956,47.45524784,,186943893.3,172490537.6,153401812.8,145946057.6,37.81299594,48.17173177,48.86813727,0.413287285,0.609874606,-0.196587321,-2.01,-0.59,-0.51,-0.55
6/11/08,48.45,48.52,47.35,47.38,170367248,48.49139256,48.85553001,48.84489602,47.45229694,,180687664,171570512,158301625.6,150192020,31.97778984,45.46160934,41.64662411,0.239234674,0.53574662,-0.296511946,-1.65,-2.38,-1.87,-1.84
